page_id;page_name;disclaimer;amount_spent_eur;date_produced;spend;party1;party2;party
196114277078358;DIE LINKE Land Bremen;DIE LINKE Land Bremen;5716;05/11/2023;5716;;;Lin
152934608113175;FDP Bremen;FDP Bremen;5147;05/11/2023;5147;;;FDP
207429192606075;Grüne Bremen;Grüne Bremen;4605;05/11/2023;4605;;;Grü
2314697952137404;Volt Bremen;Volt Deutschland - Landesverband Bremen;4431;05/11/2023;4431;;;Volt
104052104595148;Senatorin für Gesundheit, Frauen, Verbraucherschutz Bremen;Senatorin für Gesundheit, Frauen und Verbraucherschutz;3040;05/11/2023;3040;;;Sta
524965010906886;SPD Land Bremen;SPD LAND BREMEN;2955;05/11/2023;2955;;;SPD
112326918787579;CDU Bremen;CDU Bremen, Landesverband;2247;05/11/2023;2247;;;CDU
149516825090519;BÜRGER IN WUT Bremen/Bremerhaven;BÜRGER IN WUT Bremen/Bremerhaven;2241;05/11/2023;2241;;;Bürger in Wut
123523341045520;DIE FAMILIENUNTERNEHMER;Die Familienunternehmer;2024;05/11/2023;2024;;;Pol
119717121028852;Rheinland-Pfalz.Gold;Ministerium für Wirtschaft, Verkehr, Landwirtschaft und Weinbau Rheinland-Pfalz;1980;05/11/2023;1980;;;Sta
106626487721376;Amazon Europe;Amazon Europe;1777;05/11/2023;1777;;;0
1718191738408875;CDU Schwachhausen - Bremen;CDU Schwachhausen - Bremen;1680;05/11/2023;1680;;;CDU
641809389224426;Piet Leidreiter;Piet Leidreiter;1626;05/11/2023;1626;;;Bürger in Wut
371028716141;Tobias Huch;Tobias Christoph Huch;1352;05/11/2023;1352;;;FDP
106516184465027;IIIIdieBasis;dieBasis Basisdemokratische Partei Deutschland;769;05/11/2023;769;;;dieBasis
584445455088799;Sozialwahl 2023;Sozialwahl 2023;734;05/11/2023;734;;;0
112695681706961;Jörg Müller-Arnecke;Jörg Müller-Arnecke;570;05/11/2023;570;;;CDU
103445325977929;Dr. Christian Kornek;Dr. Christian Kornek;508;05/11/2023;508;;;CDU
112062055514490;Bremische Bürgerschaft;Bremische Bürgerschaft;482;05/11/2023;482;;;Sta
373965576073037;FDP Bremerhaven;Freie Demokratische Partei (FDP) Kreisverband Bremerhaven;474;05/11/2023;474;;;FDP
103822184707126;Shell Deutschland;Shell Deutschland;428;05/11/2023;428;;;0
145515688966492;SPD Bremen-Stadt;SPD-Un­ter­be­zirk Bre­men-Stadt;409;05/11/2023;409;;;SPD
170688644503;UNICEF Deutschland;UNICEF Deutschland;408;05/11/2023;408;;;Pol
1249025528531105;LV Bremen - Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;362;05/11/2023;362;;;Tierschutzpartei
102169625710148;ClimaClic;Burda Direct GmbH;356;05/11/2023;356;;;0
115430518511470;Jusos Bremen;Jusos Bremen;350;05/11/2023;350;;;SPD
108201222231260;Bremenli Türkiyeliler Ağı;Bremenli Türkiyeliler Ağı;311;05/11/2023;311;;;0
218786540044;WWF Deutschland;WWF Deutschland;306;05/11/2023;306;;;Pol
111501317017740;Motatos Deutschland;Motatos;286;05/11/2023;286;;;0
201065353264638;yello;yello;282;05/11/2023;282;;;0
56497026719;SOS-Kinderdörfer weltweit;SOS-Kinderdörfer weltweit Hermann-Gmeiner-Fonds Deutschland e.V.;272;05/11/2023;272;;;0
22541752487;Greenpeace Deutschland;Greenpeace Deutschland;271;05/11/2023;271;;;Pol
331832984040;LichtBlick;LichtBlick;266;05/11/2023;266;;;0
118442081574273;GRÜNE JUGEND Bremen;GRÜNE JUGEND Bremen;263;05/11/2023;263;;;Grü
1,04478E+14;DAK VRV e.V.;DAK VRV e.V.;253;05/11/2023;253;;;0
164014383647221;BARMER;BARMER;253;05/11/2023;253;;;0
341486659645594;FDP Fraktion Bundestag;Fraktion der Freien Demokraten im Deutschen Bundestag;229;05/11/2023;229;;;Pol
136260152219;World Vision Deutschland e.V.;World Vision Deutschland e.V.;224;05/11/2023;224;;;0
161273245888;Save the Children Deutschland;Save the Children Deutschland;216;05/11/2023;216;;;Pol
273454591804;SOS-Kinderdorf Deutschland;SOS-Kinderdorf e.V.;202;05/11/2023;202;;;0
111201741905505;Jannis Fricke;Jannis Fricke;196;05/11/2023;196;;;CDU
21242962092;ClientEarth;ClientEarth Deutschland;182;05/11/2023;182;;;0
206144186658041;Imran Rose;Imran Saladin Kilian Rose;174;05/11/2023;174;;;SPD
75492447764;GLS Bank;GLS Bank;168;05/11/2023;168;;;0
236934790401;UNO-Flüchtlingshilfe;UNO-Flüchtlingshilfe;151;05/11/2023;151;;;Pol
720447101324741;Simon Zeimke;Simon Zeimke;140;05/11/2023;140;;;CDU
1638965259687442;SPD Oberneuland;SPD Oberneuland;124;05/11/2023;124;;;SPD
110976485656573;Junge Liberale JuLis;Junge Liberale;124;05/11/2023;124;;;FDP
478399422560922;KadeFungin;DR. KADE;119;05/11/2023;119;;;0
1551791831792745;Recai Aytas;Aytas Recai;116;05/11/2023;116;;;SPD
197197970454703;ACV Automobil-Club Verkehr;These ads ran without a disclaimer;114;05/11/2023;114;;;Pol
121678260974;Initiative Neue Soziale Marktwirtschaft (INSM);Initiative Neue Soziale Marktwirtschaft;109;05/11/2023;109;;;Pol
561953460655717;Social Media Ads;Social Media Ads;105;05/11/2023;105;;;0
332923170220;ONE Deutschland;ONE Deutschland;≤100;05/11/2023;50;;;Pol
484950398505596;IRC Deutschland;IRC Deutschland;≤100;05/11/2023;50;;;Pol
82734241364;Campact e.V.;Campact e.V.;≤100;05/11/2023;50;;;Pol
2217781501611808;Fabian Vergil;Fabian Vergil;≤100;05/11/2023;50;;;SPD
837029206665363;Tabakquartier Bremen;Tabakquartier;≤100;05/11/2023;50;;;0
1509790395958123;Aktion gegen den Hunger;Aktion gegen den Hunger;≤100;05/11/2023;50;;;Pol
248913988520756;Union Investment;Union Investment Privatfonds GmbH;≤100;05/11/2023;50;;;0
106670618621988;Bremer Holzwerke GmbH;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
718677004826671;Deutsche Umwelthilfe;Deutsche Umwelthilfe;≤100;05/11/2023;50;;;Pol
265184231086585;Dominique Ofcarek;Dominique Ofcarek;≤100;05/11/2023;50;;;SPD
343364921106;Caritas international;Caritas international;≤100;05/11/2023;50;;;0
200752383293733;International Justice Mission;International Justice Mission;≤100;05/11/2023;50;;;Pol
116335026590900;Mülltrennung wirkt;die dualen Systeme;≤100;05/11/2023;50;;;0
147245511963527;DGB;Deutscher Gewerkschaftsbund (DGB);≤100;05/11/2023;50;;;Pol
1790920000965539;CDU CSU Europa;CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament;≤100;05/11/2023;50;;;0
107898832590939;European Commission;European Commission;≤100;05/11/2023;50;;;Pol
112369170621210;Deutschland spricht über 5G;"Dialoginitiative ""Deutschland spricht über 5G""";≤100;05/11/2023;50;;;Sta
133306764192;NABU Bundesverband;NABU Bundesverband;≤100;05/11/2023;50;;;Pol
109573920927141;Ichwillfair;Initiative für nachhaltige Agrarlieferketten;≤100;05/11/2023;50;;;Sta
169367889785454;Arbeitgeberverband Gesamtmetall;Arbeitgeberverband Gesamtmetall;≤100;05/11/2023;50;;;Pol
265715943461097;Kettner Edelmetalle;Kettner Edelmetalle;≤100;05/11/2023;50;;;0
114186703597807;VIER PFOTEN;VIER PFOTEN;≤100;05/11/2023;50;;;0
123910440019;Renew Europe;Renew Europe Group;≤100;05/11/2023;50;;;0
511785248971976;Bundesministerium für Familie, Senioren, Frauen und Jugend;Bundesministerium für Familie, Senioren, Frauen und Jugend;≤100;05/11/2023;50;;;Sta
511324618972373;e.on;e.on;≤100;05/11/2023;50;;;0
2069649296666421;MERA25 Bremen;MERA25;≤100;05/11/2023;50;;;0
218961468129322;Die Techniker (TK);These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
1508446642792459;Vattenfall;Vattenfall Deutschland;≤100;05/11/2023;50;;;0
2188342231399828;HSI/Deutschland;HSI Europe;≤100;05/11/2023;50;;;Pol
144380008933707;SPD-Fraktion im Bundestag;SPD-Bundestagsfraktion;≤100;05/11/2023;50;;;0
178362315106;European Parliament;European Parliament;≤100;05/11/2023;50;;;Pol
122529917412961;Arbeitsgemeinschaft Christlicher Arbeitnehmer-Organisationen;Arbeitsgemeinschaft Christlicher Arbeitnehmer-Organisationen;≤100;05/11/2023;50;;;0
263503200272;Welthungerhilfe;Welthungerhilfe;≤100;05/11/2023;50;;;Pol
1947378708884004;Initiative Frosch;Initiative Frosch;≤100;05/11/2023;50;;;0
171844246207985;taz;TAZ Verlags- und Vertriebs GmbH;≤100;05/11/2023;50;;;0
130534873659391;Green Planet Energy;Green Planet Energy eG;≤100;05/11/2023;50;;;Pol
1855211144766647;Migrando;Graske Rechtsanwälte;≤100;05/11/2023;50;;;0
123292927706635;junge Welt;junge Welt;≤100;05/11/2023;50;;;Pol
106896292163793;mehr-schutz.de;AstraZeneca GmbH;≤100;05/11/2023;50;;;0
236044090111;VDI Verein Deutscher Ingenieure;VDI Verein Deutscher Ingenieure e.V.;≤100;05/11/2023;50;;;0
1062482463795133;Liebesleben;Bundeszentrale für gesundheitliche Aufklärung (BZgA);≤100;05/11/2023;50;;;0
100345702834585;All Out Deutschland;All Out;≤100;05/11/2023;50;;;0
44511549119;Konrad-Adenauer-Stiftung;Konrad-Adenauer-Stiftung e.V.;≤100;05/11/2023;50;;;0
112277272142815;Sparkasse;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
111698888335211;Daskannkunststoff;ALPLA Werke Alwin Lehner GmbH & Co KG;≤100;05/11/2023;50;;;0
144527739568157;Searchtalent;Searchtalent;≤100;05/11/2023;50;;;0
104554009110554;Klimaliste;Klimaliste Deutschland;≤100;05/11/2023;50;;;0
47930567748;SPD;SPD-Parteivorstand;≤100;05/11/2023;50;;;0
156449679027;Renovabis;Renovabis e.V.;≤100;05/11/2023;50;;;0
340469202767984;CDU Bremerhaven;CDU Bremerhaven;≤100;05/11/2023;50;;;CDU
145944615464920;Polarstern Energie;Polarstern Energie;≤100;05/11/2023;50;;;0
1573441899601646;Hismile;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
245106622258525;CDU-Fraktion Land Bremen;CDU-Bürgerschaftsfraktion Bremen (Landtag);≤100;05/11/2023;50;;;CDU
103919417972272;Unabhängige Beauftragte für Fragen des sexuellen Kindesmissbrauchs;Unabhängiger Beauftragter für Fragen des sexuellen Kindesmissbrauchs;≤100;05/11/2023;50;;;Sta
405073162995763;Freiwilligenagentur Jugend-Soziales-Sport e.V. Wolfenbüttel/Braunschweig;Freiwilligenagentur Jugend -Sozials - Sport e.V.;≤100;05/11/2023;50;;;0
147547541961576;Council of the European Union;Council of the European Union;≤100;05/11/2023;50;;;Pol
582382331851756;Prometheus - Das Freiheitsinstitut;Prometheus - Das Freiheitsinstitut;≤100;05/11/2023;50;;;0
107085727344683;Mein Schlüssel zur Welt;Bundesministerium für Bildung und Forschung;≤100;05/11/2023;50;;;Sta
217786668379580;350.org Deutschland;350.org Deutschland;≤100;05/11/2023;50;;;0
503345659690341;hsp;hsp - Die Fundraiser;≤100;05/11/2023;50;;;0
1440878759561839;WeMove Europe;WeMove Europe;≤100;05/11/2023;50;;;0
150793518281117;Covestro;Covestro;≤100;05/11/2023;50;;;0
614408642007931;Zurich;Zürich Beteiligungs-Aktiengesellschaft (Deutschland);≤100;05/11/2023;50;;;0
819882118031178;Grüne Delmenhorst;Bündnis 90/Die GRÜNEN KV Delmenhorst;≤100;05/11/2023;50;;;0
1393167744264822;Bundesministerium für Digitales und Verkehr;Bundesministerium für Digitales und Verkehr;≤100;05/11/2023;50;;;0
104401952226;SPD Bremerhaven;SPD Bremerhaven;≤100;05/11/2023;50;;;SPD
111789447030484;Bundesfinanzministerium;Bundesfinanzministerium;≤100;05/11/2023;50;;;0
1093989863995799;hep;hep global GmbH;≤100;05/11/2023;50;;;0
141410219264688;SENEC;SENEC GmbH;≤100;05/11/2023;50;;;0
116544291761495;Kindernothilfe E.V.;Kindernothilfe E.V.;≤100;05/11/2023;50;;;0
160355334000102;PLANT-MY-TREE;PLANT-MY-TREE;≤100;05/11/2023;50;;;0
2211978065729846;Bundesministerium für Ernährung und Landwirtschaft - BMEL;Bundesministerium für Ernährung und Landwirtschaft;≤100;05/11/2023;50;;;0
456442717841951;HarperCollins Deutschland;Verlagsgruppe HarperCollins Deutschland GmbH;≤100;05/11/2023;50;;;0
134278719946186;Bayer;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
259770724096761;Animal Equality Germany;Animal Equality Germany e.V.;≤100;05/11/2023;50;;;0
2324402101161041;VMA e.V.;VMA e.V.;≤100;05/11/2023;50;;;0
344428759300247;Janina Strelow;Janina Strelow;≤100;05/11/2023;50;;;SPD
584353355107502;Hausfrage;Hausfrage;≤100;05/11/2023;50;;;0
104461229291415;Життя українських біженців у Німеччині;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
1625173397728691;Hauke Schmiegel;Hauke Schmiegel;≤100;05/11/2023;50;;;SPD
846335975484709;The Generation Forest;The Generation Forest eG;≤100;05/11/2023;50;;;0
111439015547005;Masdar;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
100160149099313;Justice Initiative;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
13479664941;JUNGE FREIHEIT;Junge Freiheit Verlag GmbH & Co. KG;≤100;05/11/2023;50;;;Pol
27352749603;Amnesty International Deutschland;Amnesty International Deutschland;≤100;05/11/2023;50;;;Pol
112784955679;ZDF heute;Zweites Deutsches Fernsehen;≤100;05/11/2023;50;;;Pol
103908516377170;SPD Ortsverein Findorff;SPD Ortsverein Findorff;≤100;05/11/2023;50;;;SPD
451980374985742;ecoligo;ecoligo;≤100;05/11/2023;50;;;0
108166048910328;Срочные Новости;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
593476900673774;ifaw;ifaw;≤100;05/11/2023;50;;;0
21289227249;FDP;FDP;≤100;05/11/2023;50;;;0
108141357768918;PRIO1 - Das Klima-Netzwerk;Klimastiftung für Bürger;≤100;05/11/2023;50;;;0
1538528933033602;Rotenburger Werke;Rotenburger Werke gGmbH;≤100;05/11/2023;50;;;0
223829854355699;Frosch;Frosch;≤100;05/11/2023;50;;;0
108051069259615;Werner & Mertz GmbH;Werner & Mertz GmbH;≤100;05/11/2023;50;;;0
209697875758716;DIE JUNGEN UNTERNEHMER;Die Jungen Unternehmer;≤100;05/11/2023;50;;;Pol
108268845888673;Bundesministerium für Arbeit und Soziales;Bundesministerium für Arbeit und Soziales;≤100;05/11/2023;50;;;Sta
100468876017523;Welcoming Out;Welcoming Out gUG (haftungsbeschränkt);≤100;05/11/2023;50;;;0
137111809764418;Meßmer;Meßmer;≤100;05/11/2023;50;;;0
189752587732416;Hochschule Emden/Leer;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
955766184451957;Das Handwerk;Deutscher Handwerkskammertag (DHKT) e. V.;≤100;05/11/2023;50;;;0
399943747481893;HAWs in Deutschland;Hochschulen für Angewandte Wissenschaften in Deutschland;≤100;05/11/2023;50;;;0
1200588670058774;LAND.SCHAFFT.WERTE;LAND.SCHAFFT.WERTE;≤100;05/11/2023;50;;;0
156733414463449;SAUBER ENERGIE;SE SAUBER ENERGIE GmbH & Co. KG;≤100;05/11/2023;50;;;0
200229763665425;Rheinhessische;Rheinhessische Energie- und Wasserversorgungs-GmbH;≤100;05/11/2023;50;;;0
185390168171425;SOLARWATT Germany;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
135591596484147;ABDA - Bundesvereinigung Deutscher Apothekerverbände e. V.;ABDA - Bundesvereinigung Deutscher Apothekerverbände e. V.;≤100;05/11/2023;50;;;Pol
117738101626747;GP JOULE;GP JOULE GmbH;≤100;05/11/2023;50;;;0
131470655621;Deutscher Hanfverband (DHV);Deutscher Hanfverband (DHV);≤100;05/11/2023;50;;;Pol
109268274798247;E-Fuels-Forum;CLASSIC Tankstellen GmbH & Co. KG;≤100;05/11/2023;50;;;0
104641917753059;Forschung ist die beste Medizin;Verband Forschender Arzneimittelhersteller e.V.;≤100;05/11/2023;50;;;0
1110204782371616;Die Moderne Landwirtschaft;Forum Moderne Landwirtschaft e.V.;≤100;05/11/2023;50;;;0
104389425384135;Arbeitgeber Land Hessen;Hessisches Ministerium des Innern und für Sport;≤100;05/11/2023;50;;;0
106557304106077;Plan E;stiftung elektro-altgeräte register;≤100;05/11/2023;50;;;0
27791418071;Ärzte ohne Grenzen;Ärzte ohne Grenzen;≤100;05/11/2023;50;;;0
116449375528;foodwatch;foodwatch e.V.;≤100;05/11/2023;50;;;0
104351635002082;Deutschland erkennt Sepsis;Deutschland erkennt Sepsis;≤100;05/11/2023;50;;;0
136435459759730;Schüco;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
275220336398890;TabulaRaaza Festival;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
112599528411498;Zakat Deutschland e.V.;Zakat Deutschland e.V.;≤100;05/11/2023;50;;;0
386510604761682;Anker;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
354412263434;Rossmann;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
510117665830401;Hilfetelefon Gewalt gegen Frauen;"Hilfetelefon ""Gewalt gegen Frauen""";≤100;05/11/2023;50;;;Sta
102042018624623;Initiative Chefsache;Initiative Chefsache;≤100;05/11/2023;50;;;0
101768433554;Deutsche Telekom AG;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
442906105719770;TotalEnergies;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
206584163580;Stiftung Mercator;Stiftung Mercator;≤100;05/11/2023;50;;;0
174118102615738;Brot für die Welt;Brot für die Welt;≤100;05/11/2023;50;;;0
1608463192727453;BÜNDNIS 90/DIE GRÜNEN Schleswig-Holstein;BÜNDNIS 90/DIE GRÜNEN Schleswig-Holstein;≤100;05/11/2023;50;;;0
111637361014018;Bethmann Bank;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
146221668771106;wbg Wissen verbindet;wbg Wissen verbindet;≤100;05/11/2023;50;;;Pol
134483979119;Rosa-Luxemburg-Stiftung;Rosa-Luxemburg-Stiftung;≤100;05/11/2023;50;;;0
1130286803835596;Niels Heide;Niels Heide;≤100;05/11/2023;50;;;SPD
134662743239116;academics.de;academics GmbH;≤100;05/11/2023;50;;;0
130288206997548;dierotationsdrucker;dierotationsdrucker.de;≤100;05/11/2023;50;;;0
162372193827491;Yubico;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
1570002513271112;AXA;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
135239426523955;KfW Bankengruppe;KfW;≤100;05/11/2023;50;;;0
675589985972309;HateAid;HateAid gGmbH;≤100;05/11/2023;50;;;0
1739138546404072;iwd;IW Medien;≤100;05/11/2023;50;;;0
3,80533E+14;CDU Lübeck;CDU Lübeck;≤100;05/11/2023;50;;;0
99923813221;vorwärts;Berliner vorwärts Verlagsgesellschaft mbH vorwärts;≤100;05/11/2023;50;;;0
237087969829041;Karton, natürlich;Fachverband Kartonverpackungen für flüssige Nahrungsmittel e.V. (FKN);≤100;05/11/2023;50;;;0
104862725436672;Deutscher Verband Flüssiggas;Deutscher Verband Flüssiggas e.V. (DVFG);≤100;05/11/2023;50;;;0
1393128654260543;talendo;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
108633728581883;Rettet Biokraftstoffe;OVID Verband;≤100;05/11/2023;50;;;0
457569408150093;Weil's hilft;GESUNDHEIT AKTIV e. V. Bürger- und Patientenverband;≤100;05/11/2023;50;;;0
1129434190405264;mpb.com;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
1529846017308575;Arte;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
1540045636302649;Arolsen Archives;Arolsen Archives;≤100;05/11/2023;50;;;0
101683398140023;Salus;Salus;≤100;05/11/2023;50;;;0
6,72769E+14;Nord.SPD;Nord.SPD;≤100;05/11/2023;50;;;0
123103607735306;PRO ASYL;PRO ASYL;≤100;05/11/2023;50;;;Pol
399241730563;Quarks;Westdeutscher Rundfunk Köln;≤100;05/11/2023;50;;;Pol
105010608261632;CDU Kreisverband Osterholz;CDU Kreisverband Osterholz;≤100;05/11/2023;50;;;0
127143338110;missio;missio;≤100;05/11/2023;50;;;Pol
1173504606112676;Bundesministerium für Bildung und Forschung;Bundesministerium für Bildung und Forschung;≤100;05/11/2023;50;;;Sta
100322788072812;The Closest Loop;The Closest Loop GmbH;≤100;05/11/2023;50;;;0
176772398231;ARD Mediathek & Das Erste;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
113318558226056;Green Balanced;Green Balanced GmbH;≤100;05/11/2023;50;;;0
922013954486012;StrassenBLUES;StrassenBLUES;≤100;05/11/2023;50;;;0
182704598535;Open Doors Deutschland;Open Doors Deutschland;≤100;05/11/2023;50;;;Pol
300225473377094;indeon magazin;Medienhaus der Evangelischen Kirche in Hessen und Nassau GmbH;≤100;05/11/2023;50;;;Pol
117534528257937;Bund für Umwelt und Naturschutz Deutschland;Bund für Umwelt und Naturschutz Deutschland;≤100;05/11/2023;50;;;Pol
369676739882363;hijob.me;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
121592027578733;Colossal page;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
117370437974620;2DF;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
190784743602;CDU/CSU-Bundestagsfraktion;CDU/CSU-Bundestagsfraktion;≤100;05/11/2023;50;;;0
1176675472454246;CAPinside.com;CAPinside GmbH;≤100;05/11/2023;50;;;0
217879838339082;Bundesministerium für Wirtschaft und Klimaschutz;These ads ran without a disclaimer;≤100;05/11/2023;50;;;Sta
2212570568810784;JES.Group;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
136576930301129;O&W Rechtsanwälte;O&W Rechtsanwälte;≤100;05/11/2023;50;;;0
512403718895902;Wildtierschutz Deutschland e.V.;Wildtierschutz Deutschland e.V.;≤100;05/11/2023;50;;;0
102918022164831;Your Data Mirror;Interactive Media Foundation gGmbH;≤100;05/11/2023;50;;;0
304775019537638;Der Paritätische Wohlfahrtsverband - Gesamtverband;Der Paritätische Wohlfahrtsverband - Gesamtverband;≤100;05/11/2023;50;;;0
53848679944;Laut gegen Nazis;Laut gegen Nazis e. V.;≤100;05/11/2023;50;;;0
2135010219947091;MINTmagie;Bundesministerium für Bildung und Forschung;≤100;05/11/2023;50;;;Sta
75159424764;Aktion Mensch;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
1077260675704647;Wohnglück;Impleco GmbH;≤100;05/11/2023;50;;;0
114554831934355;Tierschutzbund;Deutscher Tierschutzbund e.V.;≤100;05/11/2023;50;;;0
23216224900;Plan International Deutschland;Plan International Deutschland e.V.;≤100;05/11/2023;50;;;Pol
303855196900;Paradigma;Ritter Energie- und Umwelttechnik GmbH & Co. KG;≤100;05/11/2023;50;;;0
149693388517002;Equiwent int. Pferde- & Kinderhilfe;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
486679058036942;SANDER CENTER;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
64694257920;ProSieben;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
163017527046459;Jungheinrich;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
444096578976263;Die Familienunternehmer/Die Jungen Unternehmer Bremen;Peter Bollhagen;≤100;05/11/2023;50;;;0
226139210774352;MediaMarktSaturn;MediaMarktSaturn;≤100;05/11/2023;50;;;0
104437509231776;News Europe;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
109316361840166;Climony For Future;climony;≤100;05/11/2023;50;;;0
2042769265944087;Energie Heute;Energie Heute;≤100;05/11/2023;50;;;0
100817198067;shop-apotheke.com;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
105220712376554;Greifswald Moor Centrum;Succow Stiftung;≤100;05/11/2023;50;;;0
105196990914241;Dr. Gunnar Beck;Gunnar Günter Beck;≤100;05/11/2023;50;;;0
442641152463575;EGIS;EGIS VERWALTUNGS GMBH;≤100;05/11/2023;50;;;0
246252218802926;ROSSMANN babywelt;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
134965399931045;Kühne Deutschland;Carl Kühne KG (GmbH & Co.);≤100;05/11/2023;50;;;0
117065414989292;IKK classic;IKK classic;≤100;05/11/2023;50;;;0
1410420392614664;Anker;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
157935946201;co2online;co2online gemeinnützige Beratungsgesellschaft mbH;≤100;05/11/2023;50;;;0
611910082337980;VerbraucherCheck.net;Caesar Richard Reinhold Ludwig  Schütz;≤100;05/11/2023;50;;;0
352736338253081;Futurium;Futurium;≤100;05/11/2023;50;;;0
108625789179165;Soi Dog Foundation;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
2276060705944197;St.Mang;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
1565754943752371;Robert Farle;Robert Farle;≤100;05/11/2023;50;;;0
101124947919410;GermanZero;GermanZero e.V.;≤100;05/11/2023;50;;;0
646147258733066;Deutschland steigt ein;Deutschland mobil 2030 GmbH;≤100;05/11/2023;50;;;0
98673036962;ROLDA;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
539968076139979;IVPU Verband;IVPU Industrieverband Polyurethan-Hartschaum e.V.;≤100;05/11/2023;50;;;0
259870778893;ARAG Versicherungen;ARAG SE;≤100;05/11/2023;50;;;0
198244400189055;Entega;ENTEGA Plus GmbH;≤100;05/11/2023;50;;;0
101274842793956;Greenpeace grad jetzt;Greenpeace e.V.;≤100;05/11/2023;50;;;0
110983431938630;Elegant mr4;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
40415227476;Jusos in der SPD;Jusos in der SPD;≤100;05/11/2023;50;;;0
134699913249529;SodaStream Deutschland;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
115792734713232;News by Ai;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
371065426207;Arbeiter-Samariter-Bund;ASB Deutschland e.V.;≤100;05/11/2023;50;;;0
82055658434;CARE Deutschland e.V.;CARE Deutschland e.V.;≤100;05/11/2023;50;;;0
286350444716030;UN-Dekade Wiederherstellung von Ökosystemen;UN-Dekade-Büro c/o nova-Institut GmbH;≤100;05/11/2023;50;;;0
249986091716256;Deutscher Jagdverband e.V.;Deutscher Jagdverband e.V.;≤100;05/11/2023;50;;;0
158059954364490;Das Prinzip Apfelbaum;Das Prinzip Apfelbaum;≤100;05/11/2023;50;;;0
242343555837158;Männer;blu media network GmbH;≤100;05/11/2023;50;;;0
232654150646627;Deutsche Waldtage;These ads ran without a disclaimer;≤100;05/11/2023;50;;;0
126853010738506;Junge Liberale JuLis Bremen;Junge Liberale Bremen e.V.;≤100;05/11/2023;50;;;FDP
